Time (h),71uM,71uM,24uM,24uM,8uM,8uM,2.7uM,2.7uM,0.9uM,0.9uM,0.3uM,0.3uM,0.1uM,0.1uM,0.03uM,0.03uM,0uM,0uM
1.666694,32,29,75,72,99,94,114,98,111,124,109,114,109,121,119,126,115,113
3.333333,16,12,67,64,86,78,92,76,83,101,88,98,85,98,89,108,101,93
5,13,8,61,62,77,73,77,68,75,81,74,81,72,82,72,89,98,87
6.666694,13,8,64,60,79,74,82,80,80,96,82,77,84,90,82,89,103,92
8.333361,12,11,67,69,81,82,90,99,94,120,97,98,109,103,99,113,129,127
10.00003,12,8,66,74,97,107,122,125,122,149,126,127,136,123,129,135,156,149
11.66672,9,10,78,81,110,127,141,141,141,161,161,152,158,152,156,172,185,178
13.33333,9,6,86,92,131,146,175,169,164,187,181,175,180,185,186,199,213,209
15.00003,9,6,93,97,151,167,195,183,194,211,205,206,213,213,220,234,242,229
16.66669,11,10,104,104,167,173,223,217,215,226,229,223,236,240,250,250,258,253
18.33336,14,12,115,110,181,185,229,227,232,225,228,227,236,249,249,254,238,232
20.00006,11,11,118,102,178,176,222,216,215,201,217,206,200,217,227,222,211,204
21.66669,11,12,123,109,166,167,189,188,189,163,194,178,167,185,188,182,165,155
23.33336,8,7,110,96,148,137,152,153,154,129,150,138,119,137,139,128,123,106
25.00003,10,9,97,86,128,115,117,119,118,100,111,97,86,98,103,92,79,85
26.66672,12,7,89,76,103,93,97,97,91,70,82,74,66,72,77,70,60,64
28.33339,10,8,76,64,82,75,75,77,70,60,61,61,50,57,60,58,55,52
30.00006,8,9,68,53,66,64,61,57,61,54,57,49,46,56,48,53,54,52
31.66669,5,5,51,41,59,55,48,50,52,47,47,52,51,58,54,56,61,59
33.33339,5,5,47,41,49,46,48,48,49,49,56,59,60,68,61,65,75,73
35.00006,4,6,42,38,49,47,48,46,50,60,65,70,75,83,77,77,96,90
36.66672,3,4,39,33,51,48,48,50,59,68,81,91,99,110,99,110,114,117
38.33342,3,2,35,33,44,49,56,50,69,93,106,112,122,133,137,141,138,147
40.00006,2,7,35,37,49,55,60,67,78,111,127,139,147,157,157,153,166,168
41.66672,7,3,43,35,55,63,74,74,91,132,142,155,161,176,176,175,174,174
43.33339,6,10,43,42,59,64,90,86,110,154,166,167,164,178,181,180,172,167
45.00008,6,8,42,36,64,73,96,93,117,157,159,163,145,165,169,163,167,156
46.66675,5,7,43,38,72,74,105,104,116,153,156,143,131,154,155,146,139,132
48.33342,8,9,55,44,76,85,112,110,122,142,149,128,108,127,135,127,115,111
50.00011,8,6,54,49,75,87,107,114,117,127,132,107,92,108,110,101,101,90
51.66678,5,8,59,46,79,86,107,109,109,116,105,97,80,92,84,88,79,82
53.33344,8,6,56,46,84,79,105,103,102,103,99,83,72,83,81,78,74,71
