Time (h),71uM,71uM,24uM,24uM,8uM,8uM,2.7uM,2.7uM,0.9uM,0.9uM,0.3uM,0.3uM,0.1uM,0.1uM,0.03uM,0.03uM,0uM,0uM
1.666694,55,65,87,90,109,108,120,112,121,130,113,125,120,121,118,122,115,113
3.333333,41,47,65,69,87,83,98,89,104,102,95,96,99,104,98,100,101,93
5,32,34,51,55,74,69,86,70,89,81,82,77,91,86,79,93,98,87
6.666694,26,31,48,58,66,65,85,75,89,83,83,85,94,94,83,97,103,92
8.333361,24,23,44,56,85,73,101,95,114,109,111,116,118,121,110,121,129,127
10.00003,22,22,41,59,98,82,119,121,136,130,143,154,145,160,136,141,156,149
11.66672,19,18,46,54,113,99,142,136,170,153,168,175,172,184,165,174,185,178
13.33333,14,16,47,61,130,126,172,180,207,193,197,213,198,204,205,194,213,209
15.00003,13,13,56,70,176,150,221,220,247,234,235,253,233,231,242,230,242,229
16.66669,13,16,70,86,222,193,258,262,291,280,274,280,271,261,271,264,258,253
18.33336,14,19,93,111,258,236,295,295,308,300,277,286,276,261,278,268,238,232
20.00006,18,18,116,140,283,265,311,296,296,288,257,257,249,230,255,239,211,204
21.66669,18,18,130,157,297,274,290,280,254,246,212,218,207,186,208,190,165,155
23.33336,18,17,149,164,309,271,256,245,201,194,156,148,145,136,146,145,123,106
25.00003,19,19,159,173,283,260,199,205,148,136,107,107,100,97,104,106,79,85
26.66672,20,26,161,181,258,227,143,157,100,96,81,73,77,72,76,78,60,64
28.33339,24,26,159,177,218,193,110,107,72,74,59,59,57,55,61,66,55,52
30.00006,24,24,158,173,184,158,80,82,57,60,52,46,54,53,46,56,54,52
31.66669,23,25,153,164,138,126,61,63,47,50,56,46,54,55,51,56,61,59
33.33339,24,21,159,158,111,100,48,51,45,52,60,54,59,62,57,67,75,73
35.00006,22,26,154,142,88,80,43,48,57,60,78,74,80,80,72,88,96,90
36.66672,23,27,148,138,71,68,48,47,69,74,104,92,102,110,100,103,114,117
38.33342,23,28,143,121,60,53,58,55,91,98,136,125,127,128,129,128,138,147
40.00006,28,27,129,111,51,52,67,71,119,133,166,160,154,164,160,155,166,168
41.66672,27,30,118,95,58,49,94,97,157,163,180,186,181,177,185,174,174,174
43.33339,21,30,114,88,58,51,115,123,191,197,197,215,192,185,195,179,172,167
45.00008,28,29,97,74,64,58,152,157,212,212,198,205,179,176,187,165,167,156
46.66675,32,31,91,66,69,64,177,181,215,219,171,186,160,167,160,150,139,132
48.33342,31,34,78,58,88,78,206,212,212,212,143,157,142,137,135,126,115,111
50.00011,29,29,70,56,107,95,216,229,188,186,127,131,117,111,113,112,101,90
51.66678,33,35,66,53,124,114,222,226,163,158,102,102,97,93,87,92,79,82
53.33344,35,36,64,53,155,130,204,228,130,132,88,85,86,87,75,83,74,71
55.00014,29,33,56,47,182,148,187,199,108,110,76,79,76,80,69,76,77,70
56.66681,35,33,56,55,193,173,171,178,85,93,73,72,78,86,67,82,85,68
58.33347,32,33,53,50,216,189,143,149,75,80,82,76,78,90,75,91,89,84
60.00017,35,31,55,56,224,186,121,121,70,78,93,88,103,107,91,108,103,96
61.66683,37,36,56,63,210,187,99,104,74,80,100,107,113,122,112,125,122,115
63.3335,35,33,53,64,209,188,82,84,81,88,124,127,128,136,135,137,136,137
65.00019,42,33,61,63,192,179,80,78,99,105,146,148,145,147,162,152,152,142
66.66678,40,36,67,78,180,161,72,75,116,128,165,169,161,162,171,165,158,151
68.33342,39,36,64,77,147,146,77,73,141,145,174,172,162,165,179,162,155,151
70.00011,38,34,73,81,131,123,85,81,160,156,167,174,159,151,168,157,142,142
71.66678,39,33,74,79,115,108,92,93,168,168,159,166,138,145,148,147,127,122
73.33344,41,36,76,86,101,96,109,103,179,177,151,141,130,132,134,123,115,112
75.00014,37,31,80,83,88,83,123,116,178,173,130,133,109,110,113,111,98,96
76.66675,35,32,91,88,78,74,139,137,163,161,107,111,97,100,93,96,89,86
78.33344,36,34,89,85,75,69,157,152,147,152,92,97,85,93,80,84,78,79
80.00011,35,29,87,87,64,61,162,166,124,131,82,83,82,88,71,84,79,77
81.66678,32,28,83,80,61,58,167,171,103,114,80,85,82,83,73,80,76,81
83.33347,29,25,91,80,68,58,160,167,86,99,86,80,83,91,79,90,89,86
85.00008,27,23,81,74,75,67,153,158,82,88,84,74,89,98,88,96,94,94
86.66678,26,21,81,76,77,69,139,145,72,84,94,94,98,110,104,109,105,109
88.33344,29,23,76,77,85,78,124,140,71,87,107,104,107,112,118,122,121,119
90.00011,28,23,78,73,96,78,112,126,78,86,121,117,115,128,136,141,125,128
91.66681,29,27,76,73,100,90,95,104,91,93,133,131,124,137,145,137,129,127
93.33347,26,21,74,74,112,96,84,100,96,98,137,142,131,136,142,136,122,124
95.00011,27,22,74,64,118,105,83,84,113,113,139,145,128,139,147,133,119,121
96.66681,26,22,74,63,122,111,76,81,119,123,137,144,125,131,129,128,112,111
98.33347,25,18,76,62,131,116,78,74,132,136,135,139,114,121,125,120,103,103
100.0001,24,20,66,60,131,114,76,82,140,141,121,126,103,112,110,104,95,90
101.6668,22,19,64,58,129,114,88,80,141,151,107,115,93,101,93,94,90,86
103.3334,24,19,61,54,117,112,89,94,140,143,97,103,76,88,88,85,72,77
105.0001,20,16,63,58,113,116,90,101,128,132,86,88,80,87,77,83,76,72
106.6668,21,16,62,55,101,106,96,102,116,128,78,87,73,78,72,83,74,78
108.3335,20,16,57,51,92,99,104,111,106,113,76,79,75,82,77,83,79,76
110.0002,18,21,53,50,84,95,111,119,95,94,75,74,74,92,78,85,85,82
111.6668,19,16,57,48,77,87,114,124,82,90,80,80,86,96,87,95,93,88
113.3335,23,20,57,51,72,84,113,129,73,81,88,94,90,94,96,102,100,97
115.0001,20,19,60,52,71,78,104,135,72,85,94,98,98,113,106,108,103,98
116.6668,21,18,55,56,70,73,102,120,73,79,100,114,100,122,112,113,104,107
118.3335,21,17,58,58,65,74,93,118,74,81,111,113,105,116,115,114,105,103
