Time (h),71uM,71uM,24uM,24uM,8uM,8uM,2.7uM,2.7uM,0.9uM,0.9uM,0.3uM,0.3uM,0.1uM,0.1uM,0.03uM,0.03uM,0uM,0uM
1.666694,82,68,227,193,304,280,351,307,336,329,355,337,367,322,356,328,347,365
3.333333,37,35,219,177,280,238,294,253,302,288,328,296,331,319,354,319,361,368
5,32,26,216,166,261,220,278,240,274,287,330,311,366,351,377,341,417,439
6.666694,19,20,193,152,260,216,281,257,292,329,370,354,412,394,432,411,437,461
8.333361,15,19,181,144,236,209,277,260,286,323,380,358,439,419,428,414,425,416
10.00003,9,7,162,127,190,174,222,209,251,279,331,314,390,355,381,363,360,358
11.66672,9,7,137,101,152,138,173,160,204,223,258,254,305,276,322,299,287,291
13.33333,2,0,110,82,111,106,135,129,154,164,213,208,245,240,256,253,255,244
15.00003,1,0,96,71,92,90,109,107,135,137,184,190,225,220,241,232,245,235
16.66669,9,13,93,77,98,90,109,105,127,147,187,201,231,225,240,231,243,240
18.33336,14,15,84,74,86,88,102,103,137,141,184,211,243,232,255,251,266,265
20.00006,19,14,76,67,81,85,109,105,129,147,204,233,269,257,293,279,291,299
21.66669,9,13,81,66,84,77,98,99,141,161,233,260,325,305,344,330,349,352
23.33336,7,10,79,66,79,78,112,100,152,186,266,307,413,368,412,379,421,416
25.00003,3,12,75,67,86,88,124,115,164,213,327,354,477,420,479,455,483,478
26.66672,10,15,84,67,87,98,132,128,204,259,383,407,517,482,533,494,516,514
28.33339,11,16,85,74,98,103,143,146,211,282,395,409,526,488,544,497,517,489
30.00006,5,12,90,78,102,100,148,158,229,308,409,393,496,466,513,459,468,451
31.66669,4,5,84,74,102,94,148,149,242,294,385,367,448,416,462,421,427,413
33.33339,-2,-2,79,64,105,98,143,161,239,278,338,321,397,380,406,363,379,362
35.00006,0,4,79,72,100,98,149,158,233,255,320,290,350,335,356,334,343,317
36.66672,-5,-4,71,66,94,94,129,145,205,220,284,261,311,303,314,316,312,303
38.33342,-3,-3,68,57,91,86,120,135,180,201,249,250,293,286,298,286,308,302
