Time (h),71uM,71uM,24uM,24uM,8uM,8uM,2.7uM,2.7uM,0.9uM,0.9uM,0.3uM,0.3uM,0.1uM,0.1uM,0.03uM,0.03uM,0uM,0uM
1.666694,181,180,311,293,378,310,389,318,392,320,387,327,377,331,377,307,347,365
3.333333,200,186,332,301,398,335,401,318,387,327,388,319,371,321,354,306,361,368
5,322,268,414,354,445,372,435,352,432,359,419,341,392,350,362,323,417,439
6.666694,469,401,518,463,542,459,511,421,482,430,489,416,466,404,415,384,437,461
8.333361,618,497,595,537,568,503,528,450,507,439,491,422,479,418,448,416,425,416
10.00003,684,576,554,513,508,469,464,406,436,385,421,371,433,357,397,360,360,358
11.66672,694,578,468,417,416,369,366,339,357,314,331,300,353,301,323,304,287,291
13.33333,649,566,395,351,350,311,302,288,299,261,272,250,292,244,275,245,255,244
15.00003,601,522,324,299,302,259,272,242,257,228,244,216,255,224,234,222,245,235
16.66669,548,485,293,267,264,239,238,229,246,212,242,227,248,220,240,210,243,240
18.33336,483,447,267,237,238,203,228,209,247,217,255,230,261,209,245,230,266,265
20.00006,424,386,229,214,208,190,223,203,265,224,287,248,293,244,275,260,291,299
21.66669,362,339,203,183,189,177,252,215,311,248,345,302,349,293,336,309,349,352
23.33336,324,299,181,163,180,167,280,247,390,304,427,371,424,345,416,385,421,416
25.00003,290,264,160,154,188,175,378,289,468,373,531,443,517,418,493,449,483,478
26.66672,268,255,158,146,217,201,463,362,569,454,593,513,582,494,553,493,516,514
28.33339,248,235,145,142,267,239,554,425,611,513,622,513,613,501,558,496,517,489
30.00006,219,199,144,135,349,303,613,514,618,517,574,492,561,486,531,469,468,451
31.66669,198,190,143,146,417,372,625,548,550,505,492,446,495,447,472,428,427,413
33.33339,190,165,148,161,504,450,593,559,485,455,420,400,424,383,408,376,379,362
35.00006,176,148,172,184,576,511,533,514,422,387,374,359,380,336,357,336,343,317
36.66672,152,142,199,237,597,545,455,465,373,349,329,301,362,308,329,303,312,303
38.33342,151,122,234,273,573,530,387,396,336,314,300,281,335,268,307,274,308,302
40.00006,144,126,272,317,555,514,362,344,322,295,307,259,326,266,314,282,310,310
41.66672,143,126,311,365,510,468,335,319,326,279,305,277,322,287,315,278,336,339
43.33339,138,118,348,387,468,424,304,304,330,274,358,292,360,290,342,314,367,364
45.00008,126,106,364,398,424,382,300,264,340,286,389,337,393,341,389,362,410,423
46.66675,116,102,377,394,380,355,302,269,394,310,468,396,465,392,445,410,470,474
48.33342,115,107,378,402,338,321,309,260,447,351,491,446,519,453,494,479,520,494
50.00011,105,97,387,389,298,279,336,269,488,380,532,488,558,492,545,491,544,536
51.66678,98,87,365,359,262,254,363,298,545,428,545,489,556,496,543,481,510,513
53.33344,98,89,362,327,240,229,422,326,565,472,535,490,528,465,508,454,481,488
55.00014,91,82,319,314,209,211,469,366,540,471,476,451,494,427,467,421,433,417
56.66681,81,72,297,286,206,208,505,396,501,444,422,404,413,364,396,375,374,374
58.33347,83,79,285,283,209,196,519,423,444,418,355,360,374,317,345,329,331,333
60.00017,76,70,260,259,224,213,506,443,393,377,324,330,332,286,295,288,308,309
61.66683,75,71,238,240,243,218,479,440,358,336,296,295,295,263,289,268,294,293
63.3335,81,67,228,222,285,243,424,427,325,301,278,273,296,269,280,261,298,307
65.00019,86,74,215,202,326,282,381,391,306,301,288,281,305,271,298,278,314,315
66.66678,90,89,232,200,358,308,358,358,299,280,329,285,326,279,323,290,336,345
68.33342,91,80,215,192,391,337,315,329,287,263,330,304,350,287,335,322,366,364
70.00011,96,92,201,182,398,354,292,291,310,260,377,335,390,328,365,364,401,394
71.66678,92,87,191,176,405,362,281,277,321,265,395,351,411,359,387,391,415,405
73.33344,90,93,190,170,376,366,256,246,344,283,419,386,442,372,389,394,424,425
75.00014,92,103,188,176,362,348,249,238,378,313,437,404,455,381,355,388,414,413
76.66675,91,89,181,175,327,334,257,231,402,344,422,398,433,363,311,383,400,383
78.33344,92,101,180,180,306,305,276,226,403,362,416,388,418,348,281,351,353,331
80.00011,88,91,176,180,265,272,307,221,406,359,371,357,369,322,240,303,333,307
81.66678,88,93,173,180,251,255,329,255,393,352,340,327,327,297,209,288,300,296
83.33347,83,96,180,179,219,230,365,267,376,336,308,302,304,267,185,267,282,287
85.00008,89,90,179,185,213,209,387,304,342,331,300,269,293,270,180,256,279,265
86.66678,93,89,184,191,198,208,398,333,324,296,284,257,278,249,177,251,284,280
88.33344,96,111,206,201,204,209,403,366,319,303,281,253,292,256,194,274,303,300
90.00011,107,116,207,220,201,201,392,373,303,293,296,277,292,266,198,287,322,307
91.66681,112,116,215,219,206,192,376,368,290,276,315,285,317,277,226,312,332,328
93.33347,101,109,212,220,216,202,334,346,281,263,319,310,329,291,239,317,344,358
95.00011,99,104,210,223,216,208,323,319,278,264,337,324,357,309,252,340,360,374
96.66681,103,107,202,220,233,207,299,300,298,258,350,334,385,323,270,333,356,367
98.33347,110,104,206,221,254,216,275,273,308,264,366,331,392,332,271,343,354,356
100.0001,105,106,193,219,258,238,255,259,332,280,366,351,391,339,278,337,345,333
101.6668,107,103,202,200,273,260,254,239,335,295,367,350,376,329,265,327,328,314
103.3334,101,93,197,192,286,252,249,227,347,300,340,339,343,302,251,310,299,290
105.0001,92,99,191,186,293,256,255,212,360,299,332,314,316,288,239,277,290,285
106.6668,90,82,189,185,291,269,260,206,359,324,316,297,298,270,222,269,274,272
108.3335,86,89,178,177,282,276,279,217,347,324,283,266,282,256,220,255,265,268
110.0002,88,77,178,163,276,277,313,216,332,302,277,265,274,234,206,244,266,262
111.6668,84,81,169,174,264,267,344,264,306,304,275,257,273,246,229,250,279,289
113.3335,90,89,180,187,262,270,361,298,296,305,282,271,291,247,227,257,292,301
115.0001,99,87,195,190,262,258,369,309,292,289,291,268,292,266,245,289,304,298
116.6668,96,89,171,172,245,243,367,325,268,271,292,285,308,265,266,284,312,316
118.3335,88,81,179,183,233,239,351,315,263,260,307,294,327,283,278,301,320,316
