days,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Cell21,Cell22,Cell23,Cell24,Cell25,Cell26,Cell27,Cell28,Cell29,Cell30,Cell31,Cell32,Cell33,Cell34,Cell35,Cell36,Cell37,Cell38,Cell39,Cell40,Cell41,Cell42,Cell43,Cell44,Cell45,Cell46,Cell47,Cell48,Cell49,Cell50,Cell51,Cell52,Cell53,Cell54,Cell55,Cell56,Cell57,Cell58,Cell59,Cell60,Cell61,Cell62,Cell63,Cell64,Cell65,Cell66,Cell67,Cell68,Cell69,Cell70,Cell71,Cell72,Cell73,Cell74,Cell75,Cell76,Cell77,Cell78,Cell79,Cell80
0.021,10.6416,2.6416,7.7154,8.396,1.6067,1.0349,4.0913,6.3329,1.0067,1.5248,4.1557,4.5503,1.6913,7.3557,2.7141,3.1087,3.0362,2.2819,6.5879,6.0161,4.3919,2.0376,4.7597,3.9946,8.753,3.7208,9.643,3.6993,2.3678,6.1074,11.0516,3.6588,3.683,5.342,3.9004,2.4417,8.1845,2.836,3.6825,3.2315,1.1769,6.0905,3.4403,3.7953,2.2404,1.6208,5.0597,1.4833,4.6324,1.5236,10.0051,2.1438,2.2081,2.418,2.112,3.3201,4.0771,3.9725,6.3966,1.2744,,2.4906,6.7429,2.1442,1.6843,3.5206,2.1434,6.2516,2.1925,5.1478,5.559,3.4811,1.9665,2.6839,2.9496,3.9321,7.1454,3.1107,2.0306,1.2897
0.042,12.3087,3.4309,8.8349,6.8094,1.5503,2.0013,3.4711,5.5356,3.004,0.9611,3.9544,4.7436,1.7154,6.945,3.0201,2.6255,2.6336,2.1772,5.6054,5.5329,5.5436,2.5691,3.7369,2.6899,6.8685,3.9624,11.004,4.3356,2.4161,6.9047,11.116,3.1353,3.7393,4.3675,2.5313,1.6363,4.8744,2.5299,3.2798,2.4664,1.0561,5.4301,2.1438,2.1845,2.5545,0.8315,3.8758,0.8712,4.1088,1.2095,8.3863,0.8712,1.9102,1.5886,1.7093,2.7644,3.6664,3.2154,5.9456,1.7254,,1.5564,5.8731,1.4033,1.1689,2.3447,2.0628,5.4301,2.1201,3.6981,4.649,2.9577,1.6444,1.508,2.4262,3.916,8.4985,2.1603,1.4105,1.0722
0.063,14.6765,4.655,7.643,6.9463,1.0591,2.9517,4.1879,5.9946,3.4309,1.7101,6.0725,4.3973,1.3289,8.8456,3.0362,2.1906,2.5369,1.8389,6.306,4.8725,5.898,3.3181,4.1074,1.796,6.3933,4.2604,11.7852,5.1087,3.5275,7.5087,9.8274,2.6762,4.142,2.8132,2.4185,1.0887,3.3039,1.7487,4.0207,2.1603,1.1447,4.7778,1.3706,1.9913,1.9343,1.347,3.7711,0.6538,3.9236,1.3625,5.8574,0.8874,2.039,1.065,0.8798,3.2717,3.5859,3.2878,5.4462,1.7093,,1.8624,4.6168,1.5725,0.9837,1.3138,2.1595,5.2529,2.2489,2.933,4.8262,2.7483,1.5961,1.1376,1.7496,3.763,8.9978,1.4113,1.1286,1.1528
0.083,15.3208,5.2832,9.0201,6.3664,1.196,3.0886,3.2537,5.8336,3.4711,2.451,6.6604,5.4443,1.0148,11.2295,2.5691,2.6174,4.043,1.4121,7.0631,3.5678,6.3812,4.5101,5.7503,1.4899,6.6671,4.7034,12.2604,4.8993,3.7369,7.1141,4.7375,2.2011,3.4736,2.4105,2.2816,0.3236,2.4341,1.5957,4.6489,1.9831,1.5071,4.5442,0.678,1.5643,2.1196,1.8382,4.6409,1.7169,4.5518,0.8793,5.7366,1.4511,2.643,0.9926,1.0731,3.0623,3.2234,4.1254,4.7214,1.9187,,2.0074,4.6329,2.4503,1.0964,1.4588,1.4024,4.0771,1.8704,3.086,6.5254,3.8355,1.4914,1.4194,1.9831,4.4073,8.9092,1.0811,1.5635,0.581
0.104,13.4523,5.6617,6.5396,4.9732,1.494,3.9906,2.7785,4.9638,3.8658,3.0711,6.5154,6.7168,1.2564,10.8268,2.2228,2.3356,4.0349,1.3074,5.4282,2.4564,6.0913,5.396,5.6134,1.6188,5.4752,4.8322,11.5436,3.4577,3.5436,8.3544,4.4154,1.6695,3.4172,7.8306,1.9111,0.6377,2.1362,1.5877,4.9469,1.7576,1.4669,4.0288,1.2175,1.5725,2.643,1.9831,5.5188,1.2498,4.0042,2.023,6.5501,0.6538,2.635,1.6288,1.4597,2.1925,4.1576,5.1,3.7792,0.8476,,1.0087,3.6261,1.9107,0.7179,2.1836,1.9823,4.9388,0.8315,2.9169,7.0248,4.4235,0.7907,1.4999,1.7174,5.4865,7.379,1.0167,1.491,1.5635
0.125,10.5047,5.2832,5.4765,4.7396,0.8174,5.0537,2.2711,3.8926,5.8228,2.6765,6.4027,6,1.4658,11.2376,1.8685,1.8523,4.8322,1.5732,5.0094,3.1329,5.6242,6.7329,5.9436,1.4577,6.0872,5.9114,10.553,2.7973,3.4389,8.443,6.7348,1.6615,3.6346,3.2239,1.4199,0.6296,2.555,1.5957,6.1711,1.3308,0.9434,2.5147,1.7007,1.5643,2.5787,1.6691,5.6476,0.9518,3.682,3.0619,6.2923,0.8793,3.0619,1.21,1.6369,2.6274,4.818,5.1805,4.0771,1.0489,,1.508,3.2073,1.9187,0.3957,1.8534,1.8132,3.2798,0.2999,2.4176,9.3523,3.7872,0.1464,2.1442,1.6288,4.9066,7.0971,0.767,1.1689,2.0226
0.146,9.4577,5.243,3.5919,5.5691,0.6886,4.6268,1.9651,3.3208,7.1919,2.9101,7.2564,5.7906,1.6913,12.0027,1.9651,1.2805,5.2349,1.5007,3.8255,3.0926,5.149,6.8779,6.1289,0.9342,5.1369,6.1611,8.9584,2.4027,2.9557,7.8872,4.963,2.4185,4.4481,2.9098,3.087,0.4041,2.1442,1.9903,4.8503,2.1523,0.6615,2.3939,1.6041,1.798,3.0941,1.5966,5.3899,1.4431,3.4726,2.4739,5.2212,0.9034,2.6108,0.8878,1.8946,1.4758,4.3831,5.4946,4.1819,1.1133,,1.7335,3.5456,2.7563,0.742,1.6199,1.04,2.8288,0.0744,2.6189,10.9953,3.7792,0,2.0154,2.0879,3.916,5.3172,0.2999,1.1286,2.3286
0.167,7.1221,5.5168,2.851,6.2295,0.4309,4.4497,1.957,2.8295,8.247,2.9181,5.2107,6,1.9248,12.0591,2.3034,1.2,4.6389,1.5248,3.1973,2.5933,4.5369,6.0725,6.2658,1.047,4.702,4.8081,8.894,2.9423,1.7396,6.8886,5.1563,2.4185,4.5689,3.1917,2.4346,0.3558,1.4516,2.5219,4.1576,2.7402,0.7179,2.2651,1.6364,1.1294,1.8538,1.4838,4.4557,1.5478,1.9907,1.741,4.7783,1.3625,2.9249,1.4436,0.8073,1.5805,4.7214,5.6717,2.6678,1.065,,1.5241,2.6678,2.869,0.6293,1.6601,0.9031,3.3764,0.6301,1.7733,14.563,3.5376,0.9196,1.5966,2.112,3.8999,4.0528,1.1697,1.5393,2.1514
0.188,6.4456,3.9463,1.4013,6.0443,0.1248,5.1503,1.506,2.2658,10.8966,2.7248,4.7597,5.251,1.8121,9.7477,1.3691,1.2644,5.0658,1.8631,2.4161,2.094,4.0215,5.6859,6.7087,1.6752,4.4443,4.3812,7.0497,3.2805,1.3369,6.0349,4.6731,1.4279,3.989,2.8132,2.04,0.8793,1.5321,2.1595,5.3979,2.7402,0.9917,3.0705,1.0001,1.7496,1.6122,1.1617,3.4328,1.6283,1.5799,2.3371,3.997,0.9196,4.7209,0.9926,1.355,1.6852,5.9294,5.1966,3.1671,0.5738,,0.9765,1.4838,3.0866,0.4924,1.781,1.2897,2.7482,1.1294,0.8068,18.0342,2.104,2.2001,1.3792,2.7805,4.4717,3.1508,1.3147,0.734,2.095
0.208,5.5597,3.0523,1.6268,4.8121,0.3987,6.0443,1.3611,2.2174,12.9181,3.0711,4.5826,5.6698,1.651,10.1664,1.6188,1.055,4.196,1.0013,2.5691,2.3356,3.1034,5.2027,6.604,1.7315,3.8725,4.6228,6.1557,1.9678,2.1745,5.0121,4.8341,1.2105,4.5125,2.6762,2.0239,1.435,1.3227,1.8373,6.01,2.7563,1.1044,2.5308,1.1048,1.6208,1.435,0.9443,2.9013,2.6028,1.4833,2.8766,3.5058,0.7101,4.9223,0.1469,1.4114,1.0328,5.5832,5.0435,2.2086,1.2261,,1.1778,0.9201,2.9496,0.8387,0.7662,1.8132,1.9348,0.8234,0.8632,16.7778,1.8543,2.9813,1.6288,2.4825,3.8274,2.0716,1.2825,0.9273,1.8454
0.229,5.0362,3.9624,1.5544,4.7396,0.455,5.6174,0.8456,1.7826,12.8779,3.7315,3.9946,4.0107,1.4416,9.4416,2.1584,1.0711,3.9544,1.1946,1.6188,2.1262,1.7181,5.2107,5.4523,1.353,3.5584,4.7678,5.6483,2.3463,3.5275,4.0215,4.5442,1.0172,5.4467,3.6588,1.887,1.5558,0.4046,1.338,5.6073,3.2878,0.9836,2.1362,0.7021,1.1215,1.0404,1.2181,2.5308,2.4739,1.0645,3.0457,2.8454,0.9679,4.3826,0.4933,1.202,1.4758,5.551,4.7939,1.5966,1.1698,,1.3872,1.9187,2.8529,0.5488,1.3299,0.8306,2.2167,0.759,1.2014,15.8838,2.4906,2.2081,1.4194,2.5308,3.7066,1.6206,1.3469,1.2333,2.3367
